City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Dumas,US,77.14,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
344,Bandarbeyla,SO,80.87,clear sky,9.4942,50.8122,JABIR HOTEL
346,Kismayo,SO,79.09,light rain,-0.3582,42.5454,Agan-Hotel
347,Muli,MV,83.26,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
353,Puerto Carreno,CO,78.93,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
357,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
363,Labuhan,ID,85.5,overcast clouds,-6.8844,112.2051,DoubleFAG
366,Adrar,MR,82.98,overcast clouds,20.5022,-10.0711,
368,Tambopata,PE,79.12,overcast clouds,-12.7333,-69.1833,
370,Santa Marta,CO,84.88,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
379,Coxim,BR,76.66,broken clouds,-18.5067,-54.76,Hotel Avenida
381,Tanete,ID,87.37,broken clouds,-3.9443,119.7848,Wisma Tri Multi
382,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
385,Kieta,PG,83.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
388,Ciudad Bolivar,VE,82.18,overcast clouds,8.1222,-63.5497,Hotel Edi
396,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
397,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
401,Auki,SB,82.44,broken clouds,-8.7676,160.7034,Auki Motel
405,Pangai,TO,76.28,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
415,Ranong,TH,86.11,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
417,Surin,TH,89.42,broken clouds,14.8818,103.4936,One Fu Hotel
418,Mumford,GH,80.08,broken clouds,5.2618,-0.759,Spanish Villa
419,Lucea,JM,75.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
420,Tres Palos,MX,75.92,overcast clouds,18.1833,-101.6167,
422,Lagdo,CM,77.52,broken clouds,9.05,13.7333,
437,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
438,Sungaipenuh,ID,79.77,scattered clouds,-2.0833,101.3833,Penginapan Citra Alam
439,Dharmanagar,IN,82.53,light rain,24.3667,92.1667,Juri Lodge
441,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
446,Champerico,GT,84.49,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
449,Vung Tau,VN,86.67,overcast clouds,10.346,107.0843,Seaside Resort
452,Savannah Bight,HN,81.19,clear sky,16.45,-85.85,Villa on Dunbar Rock
453,Atar,MR,87.93,overcast clouds,20.5169,-13.0499,Oumou Elghoura
455,Ixtapa,MX,78.22,few clouds,20.7,-105.2,hotel la terminal
459,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
471,Goure,NE,77.74,broken clouds,13.9835,10.2704,
475,Miracema Do Tocantins,BR,76.5,light rain,-9.5618,-48.3967,Miami Apart Hotel
476,Clovis,US,84.09,haze,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
