City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Trairi,BR,-3.2778,-39.2689,78.55,86,78,8.84,broken clouds
110,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,88,20,17.05,few clouds
111,Torbay,CA,47.6666,-52.7314,31.57,92,0,6.91,clear sky
112,Leningradskiy,RU,69.3833,178.4167,33.33,96,100,19.19,overcast clouds
113,Wattegama,LK,6.7989,81.4808,78.28,79,100,6.49,overcast clouds
114,Cidreira,BR,-30.1811,-50.2056,63.25,94,100,2.98,moderate rain
115,Katsuura,JP,35.1333,140.3,62.4,78,100,18.77,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,24.3,73,100,4.0,overcast clouds
117,Carnarvon,AU,-24.8667,113.6333,69.22,38,0,16.87,clear sky
118,Tuatapere,NZ,-46.1333,167.6833,55.04,69,13,3.51,few clouds
119,Souillac,MU,-20.5167,57.5167,73.78,83,40,8.05,scattered clouds
120,Severo-Yeniseyskiy,RU,60.3725,93.0408,63.93,46,52,1.21,broken clouds
121,Kautokeino,NO,69.0125,23.0412,34.7,100,100,1.52,overcast clouds
122,Yanji,CN,42.9075,129.5078,66.29,23,4,17.36,clear sky
123,Griffith,US,41.5284,-87.4237,74.28,72,0,0.0,clear sky
124,Shiraoi,JP,42.55,141.35,69.21,64,38,12.3,scattered clouds
125,Eureka,US,40.8021,-124.1637,60.21,86,92,4.07,overcast clouds
126,Salvador,SV,13.8333,-88.9167,74.05,78,3,1.21,clear sky
127,Kalabo,ZM,-14.97,22.6814,58.3,59,7,5.64,clear sky
128,Claremorris,IE,53.7167,-9.0,51.35,80,100,5.19,overcast clouds
129,Maragogi,BR,-9.0122,-35.2225,77.2,87,80,6.58,broken clouds
130,Bilibino,RU,68.0546,166.4372,34.43,100,100,7.23,snow
131,Matagami,CA,49.7502,-77.6328,68.11,64,0,2.3,clear sky
132,Portree,GB,57.4129,-6.1942,48.52,94,98,3.36,overcast clouds
133,Nome,US,64.5011,-165.4064,33.17,88,100,10.09,overcast clouds
134,Dingle,PH,10.9995,122.6711,88.12,61,38,5.35,scattered clouds
135,Aklavik,CA,68.2191,-135.0107,29.97,70,100,3.96,overcast clouds
136,Sao Filipe,CV,14.8961,-24.4956,75.99,68,71,7.54,broken clouds
137,Provideniya,RU,64.3833,-173.3,36.28,92,100,8.97,overcast clouds
138,New Norfolk,AU,-42.7826,147.0587,67.91,53,51,5.99,broken clouds
139,Ilabaya,PE,-17.4208,-70.5133,65.5,45,5,2.01,clear sky
140,Jamestown,US,42.097,-79.2353,62.94,97,82,4.72,light rain
141,Georgetown,MY,5.4112,100.3354,87.73,82,20,2.3,light rain
142,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,3.44,broken clouds
143,Taoudenni,ML,22.6783,-3.9836,80.69,9,17,10.71,few clouds
144,Hofn,IS,64.2539,-15.2082,42.82,86,100,10.8,overcast clouds
145,Makat,KZ,47.6469,53.3463,61.68,73,100,12.26,overcast clouds
146,Bubaque,GW,11.2833,-15.8333,78.4,81,11,10.67,few clouds
147,Tallahassee,US,30.4383,-84.2807,71.8,90,93,2.08,overcast clouds
148,Tanabe,JP,33.7333,135.3667,70.81,49,75,11.5,light rain
149,Geraldton,AU,-28.7667,114.6,68.41,64,100,9.22,overcast clouds
150,Roald,NO,62.5833,6.1333,48.76,87,100,2.3,overcast clouds
151,Tempio Pausania,IT,40.8974,9.1035,45.52,57,93,2.59,overcast clouds
152,Biltine,TD,14.5333,20.9167,84.43,44,97,27.98,overcast clouds
153,Olinda,BR,-8.0089,-34.8553,82.13,74,40,11.5,scattered clouds
154,Qaqortoq,GL,60.7167,-46.0333,31.08,80,100,3.69,overcast clouds
155,Warrnambool,AU,-38.3833,142.4833,66.81,57,12,20.54,few clouds
156,East London,ZA,-33.0153,27.9116,58.96,78,0,4.32,clear sky
157,Lebu,CL,-37.6167,-73.65,48.11,74,0,6.71,clear sky
158,Aykhal,RU,66.0,111.5,39.07,97,100,3.15,overcast clouds
159,Poum,NC,-20.2333,164.0167,77.59,73,84,12.5,broken clouds
160,Cherskiy,RU,68.75,161.3,27.66,76,98,17.65,overcast clouds
161,Bengkulu,ID,-3.8004,102.2655,84.83,71,18,2.66,few clouds
162,Gornopravdinsk,RU,60.05,69.9,56.08,60,74,8.23,broken clouds
163,Huarmey,PE,-10.0681,-78.1522,63.79,87,48,7.31,scattered clouds
164,Daru,PG,-9.0763,143.2092,83.97,69,42,6.02,scattered clouds
165,Otane,NZ,-39.8833,176.6333,59.02,86,100,3.6,overcast clouds
166,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,54,9.8,light rain
167,Pevek,RU,69.7008,170.3133,28.6,91,100,17.22,overcast clouds
168,San Carlos,VE,9.6612,-68.5827,78.78,70,100,2.84,overcast clouds
169,Kloulklubed,PW,7.0419,134.2556,83.25,76,12,7.9,few clouds
170,Oranjemund,NA,-28.55,16.4333,54.5,71,0,6.64,clear sky
