City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Along,IN,2022-05-13 21:48:57,28.1667,94.7667,70.21,99,100,1.03
114,Nikolskoye,RU,2022-05-13 21:48:57,59.7035,30.7861,48.09,79,78,9.17
115,Cherskiy,RU,2022-05-13 21:48:58,68.75,161.3,39.06,74,25,16.55
116,Bakonycsernye,HU,2022-05-13 21:48:59,47.324,18.0751,65.61,83,22,9.86
117,Vaini,TO,2022-05-13 21:48:59,-21.2,-175.2,75.36,64,20,13.8
118,Pacific Grove,US,2022-05-13 21:49:00,36.6177,-121.9166,76.95,73,0,11.01
119,Ihosy,MG,2022-05-13 21:49:00,-22.4,46.1167,60.87,91,57,7.7
120,Tuktoyaktuk,CA,2022-05-13 21:49:01,69.4541,-133.0374,32.0,93,100,19.57
121,Nara,JP,2022-05-13 21:49:01,34.6851,135.8049,67.5,98,100,3.56
122,Ukiah,US,2022-05-13 21:49:02,39.1502,-123.2078,76.44,53,40,13.8
123,Caravelas,BR,2022-05-13 21:49:02,-17.7125,-39.2481,75.43,79,10,6.87
124,Yacuiba,BO,2022-05-13 21:49:03,-22.038,-63.6797,70.57,83,100,13.8
125,Amapa,BR,2022-05-13 21:49:03,1.0,-52.0,73.99,99,89,2.73
126,Kenai,US,2022-05-13 21:49:03,60.5544,-151.2583,48.02,72,75,10.36
127,Mount Gambier,AU,2022-05-13 21:49:04,-37.8333,140.7667,61.65,69,100,14.88
128,Faanui,PF,2022-05-13 21:49:04,-16.4833,-151.75,81.36,72,5,17.22
129,Kimbe,PG,2022-05-13 21:49:05,-5.5502,150.1429,80.76,78,28,2.55
130,Vestmannaeyjar,IS,2022-05-13 21:49:06,63.4427,-20.2734,42.66,55,100,2.73
131,Cabo San Lucas,MX,2022-05-13 21:46:26,22.8909,-109.9124,86.61,62,66,3.38
132,Karratha,AU,2022-05-13 21:49:06,-20.7377,116.8463,73.08,71,0,8.05
133,Anloga,GH,2022-05-13 21:49:07,5.7947,0.8973,83.57,82,39,12.03
134,Charters Towers,AU,2022-05-13 21:49:07,-20.1,146.2667,68.18,70,0,11.41
135,Yellowknife,CA,2022-05-13 21:49:08,62.456,-114.3525,59.56,33,75,11.5
136,Clyde River,CA,2022-05-13 21:49:08,70.4692,-68.5914,23.23,80,20,21.85
137,Zyryanka,RU,2022-05-13 21:49:09,65.75,150.85,35.42,84,94,12.77
138,Barrow,US,2022-05-13 21:46:32,71.2906,-156.7887,19.42,79,100,13.8
139,Lavrentiya,RU,2022-05-13 21:50:09,65.5833,-171.0,29.84,80,5,4.88
140,Hithadhoo,MV,2022-05-13 21:50:10,-0.6,73.0833,82.44,72,100,6.46
141,Nanortalik,GL,2022-05-13 21:50:11,60.1432,-45.2371,30.96,77,99,5.01
142,Kudahuvadhoo,MV,2022-05-13 21:50:11,2.6708,72.8944,80.83,78,100,18.66
143,Klaksvik,FO,2022-05-13 21:50:12,62.2266,-6.589,38.32,71,98,13.24
144,Chuy,UY,2022-05-13 21:50:12,-33.6971,-53.4616,56.75,76,97,6.29
145,Wajir,KE,2022-05-13 21:50:13,1.7471,40.0573,78.87,64,69,15.68
146,Georgetown,MY,2022-05-13 21:46:53,5.4112,100.3354,82.33,93,20,3.44
147,Goalpara,IN,2022-05-13 21:50:13,26.1667,90.6167,73.85,97,62,2.62
148,Rakovnik,CZ,2022-05-13 21:50:14,50.1037,13.7334,54.84,52,77,2.57
149,Freetown,SL,2022-05-13 21:49:36,8.484,-13.2299,79.34,85,88,4.56
150,Lesnikovo,RU,2022-05-13 21:50:15,55.2822,65.3175,51.78,75,100,16.82
151,Saint-Philippe,RE,2022-05-13 21:50:15,-21.3585,55.7679,69.39,70,1,6.98
152,Bonthe,SL,2022-05-13 21:50:16,7.5264,-12.505,80.87,86,99,7.07
153,Zorgo,BF,2022-05-13 21:50:16,12.2489,-0.6158,97.63,23,4,7.2
154,Hay River,CA,2022-05-13 21:50:17,60.8156,-115.7999,46.38,66,75,9.22
155,Mbandaka,CD,2022-05-13 21:50:17,0.0487,18.2603,74.1,84,9,3.98
156,Vysokogornyy,RU,2022-05-13 21:50:18,50.1167,139.15,43.86,72,100,0.2
157,Port Elizabeth,ZA,2022-05-13 21:50:18,-33.918,25.5701,62.1,79,0,13.8
158,Ambilobe,MG,2022-05-13 21:50:19,-13.2,49.05,69.85,89,0,3.69
159,Kruisfontein,ZA,2022-05-13 21:50:19,-34.0033,24.7314,59.88,81,40,9.48
160,Selenginsk,RU,2022-05-13 21:50:20,52.0064,106.8647,32.41,57,18,2.91
161,Saint-Augustin,CA,2022-05-13 21:50:20,51.226,-58.6502,46.51,52,100,13.91
162,Avarua,CK,2022-05-13 21:50:21,-21.2078,-159.775,82.45,83,100,11.5
163,Verkhoyansk,RU,2022-05-13 21:50:21,67.5447,133.385,24.1,59,100,6.91
164,Ayan,RU,2022-05-13 21:50:21,56.45,138.1667,30.87,91,72,4.94
165,Gnjilane,XK,2022-05-13 21:50:22,42.4604,21.4699,62.92,68,5,1.52
166,Nantucket,US,2022-05-13 21:50:22,41.2835,-70.0995,64.54,95,100,8.05
167,Richards Bay,ZA,2022-05-13 21:50:23,-28.783,32.0377,65.84,91,32,4.07
168,Rawson,AR,2022-05-13 21:50:23,-43.3002,-65.1023,53.64,44,19,19.3
169,Bend,US,2022-05-13 21:45:37,44.0582,-121.3153,58.86,36,75,14.97
170,Fort Nelson,CA,2022-05-13 21:50:03,58.8053,-122.7002,60.39,39,75,4.61
171,Vra,DK,2022-05-13 21:50:24,57.3476,9.9515,53.31,88,88,20.29
172,Rangpur,BD,2022-05-13 21:50:25,25.75,89.25,74.8,97,47,7.2
173,Paamiut,GL,2022-05-13 21:50:25,61.994,-49.6678,30.51,70,100,25.28
174,Lethem,GY,2022-05-13 21:50:26,3.3803,-59.7968,83.88,62,91,7.78
175,Upernavik,GL,2022-05-13 21:50:27,72.7868,-56.1549,17.4,81,24,1.63
176,Lompoc,US,2022-05-13 21:50:27,34.6391,-120.4579,92.7,44,0,28.99
177,Kilindoni,TZ,2022-05-13 21:50:28,-7.9139,39.6668,80.08,72,84,14.36
178,Satara,IN,2022-05-13 21:45:51,17.6833,73.9833,73.9,81,96,6.33
179,Kavieng,PG,2022-05-13 21:50:29,-2.5744,150.7967,83.41,70,69,10.6
180,Kodiak,US,2022-05-13 21:50:30,57.79,-152.4072,51.31,35,0,21.85
181,Koping,SE,2022-05-13 21:50:31,59.514,15.9926,52.5,75,71,10.04
182,Saskylakh,RU,2022-05-13 21:50:31,71.9167,114.0833,7.0,98,86,3.18
183,Nador,MA,2022-05-13 21:49:51,35.174,-2.9287,64.65,88,75,3.44
